lat,lon,mat_c,monthly_precip,kit_id
37.4147,-76.7161,14.8,3.29,K015
37.5678,-76.8867,14.8,3.29,K017
37.2192,-76.4136,15.61,3.31,K018
38.8873,-76.5621,13.51,3.17,K025
37.7106,-75.6117,15.27,3.5,K026
39.0884,-75.4374,13.42,3.15,K030
38.7746,-75.9752,13.51,3.17,K034
37.5569,-76.9731,14.8,3.29,K037
37.455876,-75.833467,15.27,3.5,K041
38.8837,-76.5583,13.51,3.17,K044
37.3344,-77.2072,14.51,3.24,K050
38.1595,-75.7905,14.58,3.37,K052
38.9677,-75.3703,13.42,3.15,K054
38.4292,-76.2374,14.18,3.2,K059
38.8753,-76.5513,13.51,3.17,K062
