kit_id,transect_location,pco2_ppm,pch4_ppm,pn2o_ppm,timespan_hr,co2_uM,ch4_nM,n2o_uM,co2_uM_hr,ch4_uM_hr,n2o_uM_hr
K015,Saltwater,1761,0.5,0.6666666666666666,25.322222222222223,63.249320218832864,0.6218228575046881,0.017373448162127193,1.9020567408698232,-0.06875794650775839,3.7735220887463624e-4
K017,Saltwater,1540.6666666666667,0.5,1.2,24.033333333333335,55.3356725442827,0.6218228575046881,0.03127220669182895,1.6747845685311198,-0.07244538145685685,9.759010410071448e-4
K018,Saltwater,1426.6666666666667,0.5,1.6,26.966666666666665,51.24116799860016,0.6218228575046881,0.04169627558910527,1.3407719870710277,-0.06456504330085759,0.0012563000216124116
K019,Saltwater,1354.5,0.8,0.9,25.133333333333333,48.64917900988593,0.9949165720075008,0.023454155018871714,1.3354441218554831,-0.05443011750041036,6.221261278215309e-4
K021,Saltwater,1544.5,1.25,3.25,24.383333333333333,55.47335325269015,1.55455714376172,0.08469555979037008,1.656391107536789,-0.03315255152793278,0.0031528711463053795
K022,Saltwater,1438.6666666666667,0.7,1.1,25.022222222222222,51.67216847709306,0.8705520005065633,0.028666189467509876,1.4621863479954462,-0.059641979227803114,8.331849029794571e-4
K025,Saltwater,1575.3333333333333,0.5333333333333333,0.16666666666666666,22.977777777777778,56.580785037706626,0.6632777146716673,0.004343362040531798,1.805908678017875,-0.07396925674378783,-1.5121956814230636e-4
K026,Saltwater,1551.3333333333333,0.6666666666666666,0.9666666666666667,23.166666666666668,55.71878408072082,0.829097143339584,0.025191499835084435,1.7539755683511957,-0.06620847691416822,7.499330141925409e-4
K030,Saltwater,2914.6666666666665,1.5333333333333332,2.066666666666667,25.5,104.68522733171957,1.906923429681043,0.05385768930259431,3.5137337484105147,-0.017882487405363592,0.0018054759854759636
K031,Saltwater,1530.3333333333333,0.8666666666666667,1.0333333333333332,25.13888888888889,54.964533243358254,1.0778262863414594,0.02692884465129715,1.586367507027453,-0.05112002276060639,7.602083394698749e-4
K037,Saltwater,1288.6666666666667,0.7666666666666667,0.8333333333333334,24.994444444444444,46.28466249593183,0.9534617148405217,0.021716810202658997,1.2482632217742762,-0.05639113711089413,5.560739131687746e-4
K041,Saltwater,1343.5,0.7,0.8,25.558333333333334,48.2540952379341,0.8705520005065633,0.020848137794552635,1.297779399700658,-0.0583909302123737,5.098175202450107e-4
K044,Saltwater,1465.6666666666667,0.5333333333333333,0.7333333333333333,25.005555555555556,52.64191955370208,0.6632777146716673,0.019110792978339914,1.5019423472919602,-0.06797086111804188,4.516092945942861e-4
K050,Saltwater,1629.3333333333333,0.8,0.8666666666666666,24.494444444444444,58.52028719092467,0.9949165720075008,0.022585482610765352,1.7732702834795144,-0.05584981890947073,6.028889926979952e-4
K054,Saltwater,1327.6666666666667,0.6666666666666666,0.7,24.1,47.68541405103375,0.829097143339584,0.018242120570233555,1.352713581069805,-0.06364438652191827,4.325339791400961e-4
K059,Saltwater,1546.6666666666667,0.8333333333333334,0.8,25.016666666666666,55.55117278352915,1.0363714291744803,0.020848137794552635,1.6175678628758574,-0.05302686592978018,5.208562073922211e-4
K062,Saltwater,1305.3333333333333,0.7,0.5333333333333333,23.533333333333335,46.88327427161641,0.8705520005065633,0.013898758529701757,1.3512007446614003,-0.06341536223843844,2.5838697691548946e-4
