"campaign","kit_id","transect_location","orp_mv"
"EC1","K004","water",360
"EC1","K008","water",315
"EC1","K009","water",305
"EC1","K010","water",291
"EC1","K011","water",262
"EC1","K012","water",350
"EC1","K013","water",296
"EC1","K015","water",334
"EC1","K016","water",311
"EC1","K017","water",328
"EC1","K018","water",314
"EC1","K019","water",322
"EC1","K020","water",345
"EC1","K021","water",298
"EC1","K022","water",322
"EC1","K023","water",311
"EC1","K024","water",325
"EC1","K025","water",334
"EC1","K026","water",347
"EC1","K027","water",317
"EC1","K029","water",301
"EC1","K030","water",354
"EC1","K033","water",322
"EC1","K034","water",180
"EC1","K035","water",308
"EC1","K036","water",300
"EC1","K037","water",348
"EC1","K038","water",350
"EC1","K039","water",333
"EC1","K040","water",283
"EC1","K041","water",265
"EC1","K042","water",339
"EC1","K043","water",289
"EC1","K044","water",335
"EC1","K045","water",315
"EC1","K046","water",304
"EC1","K047","water",329
"EC1","K048","water",321
"EC1","K049","water",279
"EC1","K050","water",357
"EC1","K051","water",290
"EC1","K052","water",263
"EC1","K053","water",330
"EC1","K054","water",150
"EC1","K055","water",292
"EC1","K056","water",-164
"EC1","K058","water",285
"EC1","K059","water",327
"EC1","K060","water",277
"EC1","K061","water",87
"EC1","K062","water",244
