"campaign","kit_id","transect_location","sal_psu"
"EC1","K004","water",0.25
"EC1","K008","water",0.2
"EC1","K009","water",0.26
"EC1","K010","water",0.3
"EC1","K011","water",0.2
"EC1","K012","water",0.27
"EC1","K013","water",0.31
"EC1","K015","water",16.05
"EC1","K016","water",20.51
"EC1","K017","water",2.7
"EC1","K018","water",20.46
"EC1","K019","water",0.18
"EC1","K020","water",0.07
"EC1","K021","water",0.27
"EC1","K022","water",0.22
"EC1","K023","water",0.2
"EC1","K024","water",12.93
"EC1","K025","water",2.65
"EC1","K026","water",31.86
"EC1","K027","water",17.19
"EC1","K029","water",5.01
"EC1","K030","water",13.31
"EC1","K033","water",0.15
"EC1","K034","water",1.75
"EC1","K035","water",10.96
"EC1","K036","water",6.6
"EC1","K037","water",0.41
"EC1","K038","water",0.1
"EC1","K039","water",0.23
"EC1","K040","water",32.62
"EC1","K041","water",33.34
"EC1","K042","water",0.28
"EC1","K043","water",20.62
"EC1","K044","water",5.11
"EC1","K045","water",0.09
"EC1","K046","water",15.84
"EC1","K047","water",0.31
"EC1","K048","water",0.27
"EC1","K049","water",0.14
"EC1","K050","water",0.06
"EC1","K051","water",12.19
"EC1","K052","water",15.06
"EC1","K053","water",0.22
"EC1","K054","water",10.3
"EC1","K055","water",0.16
"EC1","K056","water",18.38
"EC1","K058","water",15.76
"EC1","K059","water",12.52
"EC1","K060","water",7.38
"EC1","K061","water",12.04
"EC1","K062","water",7.54
